char_name,description,extra
Septimus Malfoy,"An extremely influential figure in the Ministry of Magic during the late eighteenth century, during Unctuous Osbert’s time in office, although Malfoy was not an elected government official. Many believe that Osbert was controlled by Malfoy during his term as Minister. Read More",
Madam Malkin,"Madam Malkin was the proprietor of a robe shop in Diagon Alley called Madam Malkin’s Robes for All Occasions. She was a squat witch who was generally very friendly (PS5), though she became alarmed when wands were drawn in her shop (HBP6). Read More",
Mallory Twiddle,"Mallory Twiddle wrote a letter to the Daily Prophet, complaining that Gringotts was using Sphinxes to guard its high security vaults (DP1)… Read More",
Malodora Grymm,"Malodora Grymm was a famous hag. She used a beautification potion to conceal her true form, married a king, and used a charmed mirror to reinforce her self-image. She became jealous of the most beautiful girl in the land and fed her a poisoned apple to get rid of her. Read More",
Roger Malone,"Roger Malone was one of the original forty students at Hogwarts that J.K. Rowling created. He never appeared in canon, but did appear in the BBC interview with J.K. Rowling in 2001, Harry Potter and Me. His name also appears in a new writing from J.K. Rowling on Pottermore,… Read More",
manager of Flourish and Blotts,,
Mandy Brocklehurst,Mandy Brocklehurst was a Ravenclaw Hogwarts student in the same year as Harry Potter (PS7). Read More,
Marcus Belby,"A “thin and nervous-looking” boy, in Ravenclaw and a year ahead of Harry. A candidate for the Slug Club because his Uncle Damocles invented Wolfsbane potion (HBP7), but not a favored member because he does not see much of his Uncle Damocles. Read More",
Marcus Flint,"Marcus Flint was a Slytherin, Chaser and captain of the Slytherin Quidditch team for Harry’s first three years at Hogwarts. Harry thought he looked like he had troll blood. He wasn’t beyond a bit of cheating to win a match (PS11, CS7, CS10,… Read More",
Marietta Edgecombe,"Marietta Edgecombe was a friend of Cho Chang’s with curly, reddish-blonde hair. Marietta was dragged to D.A. meetings by Cho and signed her name to the parchment that listed members of the group (OP16). However, when she later betrayed the group to Umbridge in order to protect her mother’s… Read More",
Marius,,
Marius Black,"Marius Black was the great uncle of Sirius Black and a Squib. Marius, the son of Cygnus and Violetta Black, was born between 1915 and 1920 (probably 1917 or 1918). He was the brother of Pollux Black, the father of Walburga Black, Sirius and Regulus’s mother. Further details of his… Read More",
Aunt Marge Dursley,"Miss Marjorie Eileen Dursley is Vernon Dursley’s loathsome older (Pm) sister. She lives in the country, in a house with a large garden where she breeds bulldogs but appears to have no other type of employment. Even though she is not Harry’s blood relation, he has been forced to call… Read More",
Mark Evans,"Mark Evans was a boy who lived near Privet Drive, who, at age ten, was beaten up by fifteen-year-old Dudley Dursley (OP1). Read More",
Marlene McKinnon,"A member of the Order of the Phoenix in the 1970s, Marlene and her whole family were killed by Voldemort’s supporters (PS4,OP9), including Travers (GF30), shortly before Voldemort’s downfall (DH10). Read More",
Marlow,Marlow was a Bowtruckle in Newt Scamander’s case (WFT). Read More,
"Martha, mother of James Steward","Around 1634, founder of Ilvermorny James Steward named one of his twin daughters Martha, after his late mother (Pm). Read More",
Martha Sayre Steward's husband,"Martha Sayre Steward‘s husband was a No-Maj from the Pocomtuc tribe (Pm). Martha, who was a Squib, met her husband through being friends with his sister. Painful as it was to live in a world she could never fully be part of, she decided to… Read More",
Martha Steward,"Martha Steward was the eldest of twin daughters born to Isolt Sayre and James Steward,  the founders of Ilvermorny School. She was named for her paternal grandmother. During the attack on Ilvermorny when she and her sister Rioach were babies, it was their frightened screams that broke the curse upon… Read More",
Martin Miggs,"Fictional character in a wizarding comic book that Ron was reading, The Adventures of Martin Miggs, the Mad Muggle (CS3). Read More",
Marvolo Gaunt,"Marvolo was the patriarch of the Gaunt family, such as it is. He was belligerent and violent, with a paranoid streak. He shorter than his son Morfin, with odd proportions. He has “bright brown eyes, short scrubby hair, and wrinkled face.” Harry think he looks like a powerful, aged monkey. Read More",
Mary Dorkins,"Mary Dorkins was a Muggle television news reporter. In the summer of 1995, she did a story on a water-skiing budgie named Bungy (OP1). Read More",
Mary Elizabeth Cattermole,"Alleged muggle-born brought before the Muggle-born Registration Commission for questioning because her parents were greengrocers. Escaped from the Ministry with the aid of Harry Potter, Ron Weasley and Hermione Granger (all Polyjuiced). Married to Reginald “Reg” Cattermole of the Magical Maintenance Department and mother to three children: Alfred, Ellied and… Read More",
Mary Jauncey,Mary Jauncey was one of MACUSA’s original twelve aurors (Pm). Read More,
Mary Lou Barebone,"Mary Lou Barebone was the fanatical leader of the New Salem Philanthropic Society, an anti-magic group active in New York during the 1920s. A “handsome” woman who wore Puritanical clothing like her Scourer ancestors, Mary Lou was also mother to three adopted children whom she raised inside the New Salem… Read More",
Mary MacDonald,,
Masaki Hongo,Masaki Hongo was a Beater on the Japanese National Team at the Quidditch World Cup tournament in 2014. Hongo and teammate Shintaro Shingo were an extremely talented duo of Chasers who made their mark at the 2014 tournament (Pm). Japan won their first match against a relatively inexperienced Polish side. Their… Read More,
Mr. and Mrs. Mason,"Mr and Mrs Mason were a builder and his wife, who were dinner guests of the Dursleys’ on Harry’s twelfth birthday – an unfortunate night for all parties involved, especially given Mrs. Mason’s severe ornithophobia (CS1,CS2). Read More",
Matilda Dukelow,"Matilda Dukelow was a fan of the Holyhead Harpies Quidditch team in the 1990s (DP4). Matilda saw Puddlemere United (and former Harpies) Chaser, Wilda Griffiths, disappear during a match against the Holyhead Harpies and had assumed the Chaser had turned herself invisible – which is against… Read More",
Mauler,Mauler is one of three pet Kneazles belonging to Newt Scamander and his wife Porpentina (FB). Read More,
Olympe Maxime,"Olympe Maxime was the headmistress of Beauxbatons Academy in France. She was respected both for her work at her job (GF29) and for her wizarding power (OP20). Though she was a half-giant with the height to prove it, she publicly denied her giant ancestry (… Read More",
Maximillian Crowdy,"Maximillian Crowdy was the “charismatic” eighth Minister for Magic. He served from 1770 to 1781, when time he mysteriously died in office (Pm). Read More",
Maximus Brankovitch III,Maximus Brankovitch III is a famous American Quidditch player who played Seeker for the Fitchburg Finches Quidditch team. He was also the Seeker and Team Captain of the United States National Team (QA8). Read More,
Dougal McBride,"Dougal McBride played Seeker for the Pride of Portree Quidditch team in the 1990s (DP3). After a scuffle in the air, he lost the Snitch – and therefore the match – when (according to McBride) Appleby Arrows’ Seeker Gregory Cotton cursed him. McBride then turned Cotton’s… Read More",
McClaggan,McClaggan was a British wizard who attended Hogwarts School of Witchcraft and Wizardry in the 1920s. He was a Gryffindor student in a Defence Against the Dark Arts Class being taught by Professor Dumbledore in September 1927 when the class was interrupted by Torquil Travers. He defended… Read More,
McClivert Clan,"A legendary clan who lived on the Isle of Drear. The McClivert clan feuded with the MacBoon clan. Dugald McClivert, their chief, was killed by Quintius MacBoon. The McCliverts retailated by turning all of the MacBoons into Quintapeds (FB). Read More",
Catriona McCormack,"Catriona McCormack was the Captain of and a Chaser for the Quidditch team Pride of Portree in the 1960. She led the team to two league wins during that era. McCormack also played for Scotland thirty-six times. She has a Quidditch-playing daughter, Meaghan, and a musical… Read More",
Meaghan McCormack,"Meaghan McCormack is a Keeper for the Pride of Portree Quidditch team, around the 1990s. Her mother, Catriona, was a famous Chaser and also Captain of the ‘Prides’ in the 1960s and her brother Kirley Duke is the lead guitarist of The Weird Sisters… Read More",
Natalie McDonald,"Gryffindor, 1994 – 2001 (GF12). Natalie’s name comes from a Canadian girl who was very sick. She loved the Harry Potter books and contacted JKR. The author wrote her and told her some of the secrets of the books to come, but Natalie had died by the time… Read More",
Elizabeth McGilliguddy,Elizabeth McGilliguddy was president of MACUSA during the American Revolution and the 1777 “Country or Kind?” debate. She encouraged the British Ministry of Magic to refrain from interfering in the war for American independence (Pm). Read More,
McGonagall family,"A muggle/wizarding family. Notable members include: Minerva McGonagall Robert McGonagall, Reverend Isobel McGonagall Malcolm McGonagall Robert McGonagall, Jr.    … Read More",
Minerva McGonagall,"Minerva McGonagall was the Transfiguration professor and Deputy Headmistress at Hogwarts for over forty years, and a powerful witch and Animagus (PS1, PS4). McGonagall has a stern exterior, keeping her classes strictly controlled and following the rules closely (PS8), yet has a warm heart and… Read More",
"Robert McGonagall, The Reverend","The Reverend Robert McGonagall was a Scottish Presbyterian minister. He married Isobel Ross, an 18-year-old, high-spirited witch after they eloped. The pair brought forth three children, Minerva, named after Isobel’s grandmother, Malcolm and Robert Jr. They lived in the manse just outside Caithness, Scotland. It was… Read More",
Jim McGuffin,"Jim McGuffin was the weatherman on the evening news Vernon Dursley was watching on November 1, 1981 (PS1). Read More",
Cormac McLaggen,"Cormac McLaggen was a “large, wiry-haired youth” and member of the Slug Club. He had a famous “Uncle Tiberius” who was a favorite student of Horace Slughorn’s (HBP7). During his seventh year Cormac tried out for Keeper of the Gryffindor Quidditch team, but was beaten… Read More",
Lorcan McLaird,Lorcan McLaird was an eccentric Minister for Magic who was in office for just two years (1923-1925). McLaird’s eccentricities included speaking only in monosyllables and blowing puffs of smoke from his wand. His antics irritated constituents until they forced him from office (MoM)… Read More,
Cormack McLeod,"Cormack McLeod was the manager of the Montrose Magpies Quidditch team in the 1990s. McLeod tried to defend his Chaser, Alasdair Maddock, after he kicked the Snitch towards the Keeper, resulting in a loss to the Kenmare Kestrels. He threatened to turn Maddock into a jellyfish should… Read More",
Dugald McPhail,"Dugald McPhail was Minister for Magic during a “period of calm”from 1858 – 1865. McPhail, speaking about the Muggle Prime Minister visiting the Ministry of Magic, said that none had, because ‘their puir wee braines couldnae cope wi’ it’ (Pm). Read More",
Quintia McQuoid,Quintia McQuoid was a potioneer who died 1407 from consuming an improperly brewed Cure for Ague Potion. The Wizarding Schools Potions Championship is held in her honor (BoP). Read More,
Tarquin McTavish,"Tarquin McTavish was a wizard who imprisoned his Muggle neighbour inside a tea kettle. He was sent to prison for this act (JKR, WoM). Read More",
Dorcas Meadowes,Dorcas Meadowes was a member of the Order of the Phoenix Order of the Phoenix who was killed personally by Voldemort (OP9).  … Read More,
Megan Jones,,
Melania Macmillan,"Melania Macmillan, a member of the pure-blood Macmillan family, married Arcturus Black and had two children, Lucretia and Orion. She was grandmother to Sirius and Regulus Black. Read More",
Araminta Meliflua,Araminta Meliflua was a cousin of Sirius Black’s mother. Meliflua tried to force through a Ministry bill to make Muggle-hunting legal (OP6). Read More,
Melinda Bobbin,"Melinda Bobbin was a Hogwarts student, who in 1996 was chosen as a member of the Slug Club because her family owned a large chain of apothecaries (HBP7). Read More",
Melusine,"Melusine was a French witch who lived in, and previous to, the 1920s. She worked at the French Ministry of Magic in the Records Room Archives. She is described as “a very old woman” who permits Newt Scamander and Tina Goldstein into the archives when they claim to… Read More",
members of the Accidental Magic Reversal Squad,,
Mercy Ojukwu,"Mercy Ojukwu was a Beater for the Nigerian National Team at the Quidditch World Cup tournament in 2014 (Pm). Ojukwu was a member of the Nigerian team at the 2014 tournament. She and the other Nigerian Chaser, Aliko Okoye, were “ferocious” against the Fijians in their first match, winning by 400… Read More",
Mercy Wardwell,"Mercy Wardwell was a Chaser for the United States National Team at the Quidditch World Cup in 2014. Wardwell was a member of the United States team that participated in the 2014 tournament, along with fellow Chasers Arsenia Gonzales and Quentin Kowalski (Pm). The US team… Read More",
Merlin,"Merlin, a Charms specialist sometimes known as “The Prince of Enchanters,” is unquestionably the most famous wizard of all time (PS6, FW). He was part of the Court of King Arthur (King Arthur once ruled the land that is now part of England). He believed… Read More",
Merope Gaunt,"Merope Gaunt was the daughter of Marvolo Gaunt and mother of Tom Riddle. Eighteen-year-old Merope’s hair is lank and dull and she has a “plain, pale, rather heavy face.” Her eyes also gaze in opposite directions. Merope’s father is extremely abusive to her and derisively calls her a “Squib” (and other… Read More",
Galatea Merrythought,"Galatea Merrythought was the Defence Against the Dark Arts professor at Hogwarts from c. 1895 to c.1945. Soon after graduating from Hogwarts, Tom Riddle asked Headmaster Armando Dippet if he could remain and teach because Professor Merrythought was retiring after teaching for “nearly fifty years” (… Read More",
Merton Graves,Merton Graves was the cello player for the popular wizarding band The Weird Sisters. Read More,
Mervyn Fenwick,"Mervyn Fenwick played Keeper for the Tutshill Tornados Quidditch team during the 1990s (DP2). He was affected by a bout of sleeping sickness during a match against the Ballycastle Bats, possibly caused by Bats’ captain Finbar Quigley hitting him with a Bludger (DP2). Read More",
Merwyn the Malicious,Merwyn the Malicious was a medieval wizard credited with the invention of many unpleasant jinxes and hexes (FW). Read More,
Mentor Metaxas,Mentor Metaxas was Chairman of the International Confederation of Wizards Quidditch Committee (ICWQC) in 2014 (Pm). Rita Skeeter reported that Metaxas was a VIP guest at the 2014 Quidditch World Cup final (Pm). Read More,
Michael Corner,"Ravenclaw, 1991 – 1998 Michael is a dark-haired boy who met Ginny Weasley at the Yule Ball and began dating her at the end of the 1994 – 1995 school year; through Ginny, Michael and his friends joined the DA (OP16). Michael sulked so much after Gryffindor defeated… Read More",
Eloise Midgen/Eloise Midgeon,"Eloise Midgen (or Midgeon) was a Hogwarts student in the early 1990s. Eloise tried to curse off her acne and had to have her nose re-attached by Madam Pomfrey (GF13), but it ended up off centre (GF22). Ron irritated Hermione by saying he wouldn’t want… Read More",
Miles Bletchley,"Miles Bletchley was a Hogwarts student in Slytherin House c.1989-1996. He was on the Slytherin Quidditch Team, playing as their Keeper, during Harry Potter’s first Quidditch match in 1991 (PS11). Bletchley hit Alicia Spinnet from behind with a jinx in the library prior to the… Read More",
Luc Millefeuille,Luc Millefeuille was a Beauxbatons student and later a baker who became notorious for poisoning Muggles (Pm). Read More,
Millicent Bagnold,"Millicent Bagnold was Minister of Magic before Cornelius Fudge, from 1980-1990 (OP5). She was a “highly able Minister. Had to answer to the International Confederation of Wizards for a number of breaches of International Statute of Secrecy on the day and night following Harry Potter’s survival of Lord Voldemort’s… Read More",
Millicent Bulstrode,"Slytherin, 1991 – 1998 (PS7) Member of Umbridge’s Inquisitorial Squad in her fifth year (OP32). In her second year, Millicent partnered Hermione at the Duelling Club at Snape’s direction, resorting to a headlock despite the standard “no contact” rule of wizard duelling, leaving some black hair on… Read More",
Hortensia Milliphutt,"Hortensia Milliphutt was Minister for Magic from 1841 to 1849. She introduced much more legislation than other Ministers for Magic, but some of it was pointless, such as a proposed law on “hat pointiness,” and she fell out of favor (Pm). Read More",
Milly,Milly is one of three pet Kneazles owned by Newt Scamander and his wife Porpentina (FB). Read More,
Minette Lestrange,,
Ministry wizard dealing with Archie,,
Ministry wizard dealing with toy broomstick incident,,
Ministry wizard in plus-fours,A Ministry wizard dressed in Muggle plus-fours was in charge of making sure that owners of the campgrounds at the 1994 Quidditch World Cup tournament did not notice the magic activity going on all around them. He did this by casting multiple Memory Modifying Charms on them. It was… Read More,
Ministry wizards who carry the World Cup up to the Top Box,,
Ministry wizards who separate the Veela from the Leprechauns,,
Ministry wizard in tweed suit and galoshes with large gold watch,One of two “tired and grumpy” wizards working at the Portkey landing site at the 1994 Quidditch World Cup (GF7)… Read More,
Mirabella Plunkett,"Mirabella Plunkett was a witch famous for falling in love with a merman in Loch Lomond while on holiday there. When her family forbade her to marry him, she transfigured herself into a haddock and was never seen again (FW). Read More",
Miranda Goshawk ,"Famous author of the Standard Book of Spells series of books (Standard Book of Spells Grade One through [known] Grade Six) which are required textbooks for students at Hogwarts (PS5, PA4, GF10, OP9, HBP9). Read More",(1921-)
Miranda Goshawk ,"Miranda Goshawk, who lived some two hundred years ago, grew up searching for a good, simple book of spells. Goshawk had a lot of older sisters who teased her by telling her the wrong incantations for spells as they were growing up. As Miranda put it, “Hand me down robes are merely… Read More",1800)
Miriam Strout,"Miriam Strout was the Healer in charge of the Janus Thickey ward (a closed, longterm ward for patients with permanent spell damage) at St. Mungo’s Hospital at the time of Broderick Bode’s assassination (OP23, 25). She was quite chatty and was “motherly-looking.” She treated Lockhart (a resident in the… Read More",
Jacques Miskine,"Jacques Miskine played Seeker for the Chadian National Team at the Quidditch World Cup tournament in 2014 (Pm). Miskine was a participant during the first round, where Chad played against Liechtenstein – a three-day marathon. Although the Snitch was visible at least three times during the first… Read More",
Mnemone Radford,"Mnemone Radford was the first Obliviator employed at the Ministry of Magic and the inventor of Memory Modifying Charms (JKR, WoM). Read More",
Cuthbert Mockridge,Cuthbert Mockridge was Head of the Goblin Liaison Office at the Ministry of Magic. He was one of the Ministry officials present at the 1994 Quidditch World Cup Final (GF7). Read More,
Modesty Barebone,"Modesty Barebone was the youngest adopted daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. Read More",
Modesty Rabnott,"Modesty Rabnott was a thirteenth century Witch living in Kent. She tried to stop Barberus Bragge from his barbaric treatment of a Golden Snidget during a Cuaditch match, only to be fined 10 Galleons for her trouble (a huge amount of money in those days). According to the… Read More",
Arnulf Moe,"Arnulf Moe was the manager of Norway’s National Quidditch Team in 2014. Appearances For the opening ceremony of the 2014 Quidditch World Cup, Moe made the controversial decision to bring the Selma as Norway’s team mascot, which had some rather disastrous consequences. Arnulf Moe remained… Read More",
Eupraxia Mole,"Eupraxia Mole was the headmistress of Hogwarts in 1876, when she negotiated an end to a standoff with Peeves by signing a contract allowing the poltergeist certain privileges. Read More",
Lilith Molesby,Witch whose letter was published on the Problem Page of the Daily Prophet (DP3)… Read More,
Molly Weasley ,MMolly is the eldest child of Percy and Audrey and was possibly named after her grandmother Molly Weasley. Read More,(II)
Molly Weasley,"Molly Weasley is a middle-aged witch, wife of Arthur Weasley and mother of seven, who puts her family first in everything she does. Molly is a very capable witch in her own right. She is one of the “old crowd,” a group of witches and wizards who are faithful and… Read More",
Momolou Wotorson,Momolou Wotorson was a foreign envoy to MACUSA in 1926 (WFT). Read More,
Monica Wilkins,,
Monsieur Delacour,,
Mr. and Mrs. Montague,,
Montague,Montague was a Hogwarts student in Slytherin House c. 1989-1996. He played on the Slytherin Quidditch Team as a Chaser (PA15) and later became their team’s Captain (OP19). He was also appointed by Professor Dolores Umbridge to be a member of her Inquisitorial Squad (… Read More,
Montague Knightly,Montague Knightly was Wizard Chess champion in the 1500s (FW). Read More,
Montgomery sisters,,
Mad-Eye Moody,"Alastor “Mad-Eye” Moody is a retired Auror, considered one of the best Dark Wizard catchers the Ministry has ever had. Moody came on staff for a year at Hogwarts, but  spent it at the bottom of a magical trunk, unbeknownst to anyone but the imposter who put him there (… Read More",
Dennis Moon,"Dennis Moon was a Chaser for the New Zealand National Team at the Quidditch World Cup tournament in 2014. During their initial match at the 2014 tournament, Moon collided with Bulgarian Chaser Bogomil Levski, with whom he had a long-standing feud. Referee Georgios Xenakis deemed the collision deliberate, and… Read More",
Regulus Moonshine,Professor Moonshine is a researcher whose specialty is potions that affect hags (DP4)… Read More,
Mopsus ,"In early drafts of the first book, Rowling included a Divination professor named Mopsus. Read More",professor)
Mopsus ,Mopsus was an Ancient Greek soothsayer who vanquished the seer Calchas in a contest of their powers (FW). Read More,soothsayer)
Mopsy Fleabert,Mopsy Fleabert was the author of the book Animal Ghosts of Britain. Read More,
Moran,"Moran was a Chaser on the Irish National Team in the 1990s (GF8). Along with fellow Chasers Mullet and Troy (and teammates Connolly, Ryan and Lynch), Moran represented Ireland in the 1994 Quidditch World Cup tournament. Riding on Firebolt brooms, the team were in the final against Bulgaria. Throughout… Read More",
Ethelbald Mordaunt,"Wizard whose next door neighbour, Elladora Guffy, was overly fond of practical joke spells (DP1)  … Read More",
Morfin Gaunt,"Morfin Gaunt was the son of Marvolo Gaunt. He is first seen dressed in rags, his thick hair so matted with dirt the color was indistinguishable. He was missing several teeth, and his eyes, like those of his father and sister, looked in opposite directions. Morfin is a Parselmouth and… Read More",
Morgan,"Morgan is young wizard who is the subject of “The Rhyme of Gormless Morgan”, which appears in the Book of Spells (BoS). He is ordered to capture a Gorgon, however the attempt ends very unhappily for him. Read More",
Gwendolyn Morgan,"Gwendolyn Morgan was a Quidditch player and the Captain of the Holyhead Harpies team in 1953. After her Seeker, Glynnis Griffiths, caught the Snitch to give them the victory in a hard-fought seven-day match, the captain of the Heidelberg Harriers, Rudolf Brand, proposed marriage immediately he landed on… Read More",
Morgana / Morgan le Fay,"Morgana, also known as Morgan le Fay, was a powerful Dark witch in the Middle Ages, Queen of the Island of Avalon, and half-sister to King Arthur. She was Merlin‘s greatest enemy (FW).  … Read More",
Valmai Morgan,Valmai Morgan is a Chaser for the all-female Quidditch team Holyhead Harpies in the 1990s. Morgan replaced Wilda Griffiths on the Harpies’ team and scored ten goals on her debut. Team Captain Gwenog Jones was “cock-a-hoop” at the result (DP3). She also scored for the Harpies in the… Read More,
Morholt,,
Morrigan,Morrigan was a famous Irish witch whose Animagus was a crow (Pm).  … Read More,
Mortlake,A Ministry raid on his house in August 1992 turned up some extremely odd ferrets (CS3). Read More,
Mosag,"Female acromantula, wife of Aragog (CS15). Read More",
Hassan Mostafa,Hassan Mostafa was an Egyptian wizard and the Chairwizard of the International Association of Quidditch in the 1990s (GF8). He was the Referee at the 1994 Quidditch World Cup final and proved particularly susceptible to the Bulgarian team’s mascot Veela performances. It was… Read More,
Old Mother Hubbard,,
three Muggle boys who attack Ariana,,
Muggle postal carrier on the Ottery St Catchpole route,,
Muggle postal carrier on the Privet Drive route,,
Muggle Prime Minister,"Vernon Dursley once doubted that Dudley even knew who the Prime Minister was, since the boy took no interest in current events, but neglected to mention the name himself (OP1). Vernon would be horrified (judging from his reaction to the existence of the Ministry of Magic in (OP2) to… Read More",
three Muggle taxi drivers,,
Muggle tramp,"After stealing Salazar Slytherin’s locket from Hepzibah Smith, Tom Riddle used the murder of a Muggle tramp to turn the locket into a Horcrux with part of his soul inside (BLC). Read More",
Mulciber,"Mulciber was a student at Hogawrts at the same time as Snape, Lily Potter, and the Marauders. He was a supporter of Voldemort and became a Death Eater. There are two Death Eaters named Mulciber. The first went to school with Voldemort and escorted him to Hogsmeade the night he… Read More",
Burdock Muldoon,"Burdock Muldoon was Chief of Wizards’ Council in the mid-14th century. Muldoon tried to define the difference between a “being” and a “beast.” He decreed that any creature that had two legs was a “being,” and therefore deserving of better representation and treatment. When he called a summit meeting to discuss… Read More",
Mullet,"Mullet was a Chaser and member of the Irish National Team at the Quidditch World Cup in 1994. Riding the recently released Firebolt brooms, the Irish side played and won against Bulgaria in the final match of the tournament. The other members of the team were Chasers… Read More",
Zacharias Mumps,"Zacharias Mumps wrote a description of Quidditch in 1398 which closely matches the current form of the game (QA5). Mumps emphasised the need for finding a place to play Quidditch that was secure from the notice of Muggles (QA5). He also described the duties and titles of the players, the… Read More",
Eric Munch,"Eric Munch was a watchwizard who worked in the Atrium of the Ministry of Magic. When Harry visited the Ministry for his hearing on August 12, 1995, a watchwizard named Eric was on duty. Eric is described as “badly shaven” and wearing robes colored to match the ceiling of… Read More",
Mundungus Fletcher,"Mundungus Fletcher is a rather dodgy character, a crook whose shady business dealings are always getting him into trouble. However, he’s also a member of the Order of the Phoenix. Read More",
Mungo Bonham,Mungo Bonham was a famous wizard healer and the founder of Saint Mungo’s Hospital for Magical Ailments and Injuries (FW). Read More,
Harfang Munter,"Harfang Munter was the second Head of the Durmstrang Institute, succeeding founder Nerida Vulchanova. Munter established the school’s tradition of teaching combat and martial magic – and it’s reputation for the Dark Arts (Pm). Read More",
Murcus,Merchiefteness of the Merfolk living in the Hogwarts lake.  She is described as “a particularly wild and ferocious-looking female.” (GF26)… Read More,
Auntie Muriel,"An aunt of Molly Weasley’s (DH4) who looks like a “bad-tempered flamingo,” Muriel is quite a character. She attends Bill and Fleur’s wedding, but talks loudly throughout it and doesn’t seem to have a filter, telling Hermione she has skinny ankles and George that his ears are lopsided (… Read More",
Eunice Murray,"Eunice Murray played Seeker for the Montrose Magpies Quidditch team. She died in 1942. Murray petitioned for a speedier Golden Snitch for the game of Quidditch, as she felt the current model was too slow (QA7). Read More",
Musidora Barkwith,"Musidora Barkwith was the sixteenth-century composer of the unfinished “Wizarding Suite,” the modern version of which features an exploding tuba. That musical piece has been banned since its last performance in 1902 when it blew the roof out of Ackerley Town Hall (FW). Read More",
Mustafa Kama,"Mustafa Kama was a successful pureblood wizard of Senegalese ancestry, the husband of Laurena Kama, and the father of Yusuf Kama (CG). Mustafa went mad after Laurena was abducted from the Kama mansion by Corvus Lestrange Sr.; as he died, he exhorted Yusuf to get revenge by killing the person… Read More",
Mylor Sylvanus,,
Myron Otherhaus,Myron Otherhaus was a handsome wizard who lived in Bury St Edmunds. He fell in love with Violet Tillyman when she accidentally arrived in his house via the Floo Network (Pm). Read More,
Myron Wagtail,Myron Wagtail was the lead singer of the wizarding band The Weird Sisters (FW). Read More,
Myrtle Warren,Myrtle Elizabeth Warren was a Ravenclaw student in the 1940s who was killed by the basilisk from the Chamber of Secrets. She became the ghost known as Moaning Myrtle. Read More,
Moaning Myrtle,"Moaning Myrtle is a ghost who haunts a toilet in a girls’ bathroom on the first or second floor of Hogwarts castle. She is a squat ghost with lank hair, pimples, and thick glasses. She seldom smiles and takes offense at the least excuse, crying rivers of tears and wailing. Read More",
Nagel,Nagel was an acolyte of Gellert Grindelwald in the 1920s. Prior to 1927 Nagel joined Gellert Grindelwald and became one of his six trusted acolytes. He assisted Grindelwald in securing a home in Paris along with the other acolytes and helps dispose of the bodies of the former inhabitants. Read More,
Nagini,"Nagini was a Maledictus who became a huge, magical, diamond-patterned snake and a companion to Voldemort.  Nagini was originally a young woman who suffered from a malediction, a blood curse that would eventually transform her into a snake. She used this ability to become a… Read More",
Nagnok,Nagnok may not be canon; his name was mentioned in the third W.O.M.B.A.T. test posted on jkrowling.com as a possible answer to the question “Which of the following did NOT provoke one of the bloody goblin rebellions of the 17th and 18th centuries?” According to the test Nagnok was a… Read More,
Narcissa Malfoy,"Narcissa Malfoy is Lucius’ wife and Draco’s mother, a blonde with blue eyes and a look on her face as if there were something smelly under her nose (GF8). She is fiercely protective of her son. Draco wanted to go to Durmstrang instead of Hogwarts but Narcissa nixed this… Read More",
Narinder Singh,Narinder Singh was a Beater for the Fijian National Team at the 2014 Quidditch World Cup. Read More,
Natalie McDonald,"Gryffindor, 1994 – 2001 (GF12). Natalie’s name comes from a Canadian girl who was very sick. She loved the Harry Potter books and contacted JKR. The author wrote her and told her some of the secrets of the books to come, but Natalie had died by the time… Read More",
Niko Nenad,"Niko Nenad was a Beater for the Romanian National Team in 1809. He caused a controversial early end to the Quidditch World Cup 1809 tournament (Pm). In spite of warning signs, the team manager allowed Nenad to play in the tournament. When his team were losing in the final, he… Read More",
Nerida Vulchanova,Nerida Vulchanova was a powerful Bulgarian witch and the founder and first head of Durmstrang Institute. Her death was considered “mysterious” (Pm). Read More,
Neville's Grandad,"Under interrogation, Neville tells Umbridge that he can see Thestrals because he saw his Grandad die (OP21). This may have been Augusta’s husband, or his grandad on his mother’s side. Read More",
Neville Longbottom,"Neville Longbottom is the son of Frank and Alice Longbottom, famous and well-liked Aurors who were tortured into madness by the Death Eater Bellatrix Lestrange. The Longbottoms are one of the few pureblood families in the wizarding world. Neville is a staunch friend of… Read More",
Newt Scamander,"Newton “Newt” Scamander is a famous magizoologist and author of Fantastic Beasts and Where To Find Them (PS5) as well as a number of other books. Now retired, Scamander lives in Dorset with his wife Porpentina (FB). He received the Order of Merlin, second… Read More",
Newt Scamander's mother,Newt Scamander‘s mother was a fancy Hippogriff breeder; she encouraged Newt’s fascination with magical creatures (FB). Read More,
Ngapo Ponika,Ngapo Ponika played Seeker for New Zealand’s National Team at the 2014 Quidditch World Cup. Read More,
Nearly-Headless Nick,"Nearly Headless Nick is the nickname of the ghost of Sir Nicholas de Mimsy Porpington, a wizard who died in a botched execution on October 31, 1492. He was hit forty-five times in the neck with a blunt axe, but a half-inch of skin and sinew remained connecting his head… Read More",
Nicholas Malfoy,"Notorious member of the Malfoy family, thought to have murdered unruly Muggle tenants, disguising them as Black Death victims. He was never reprimanded by the Wizard’s Council. Read More",
Nicolas Flamel,"Flamel is a celebrated alchemist (DH2) who is famous for creating the only known Philosopher’s Stone in existence. As a result, Flamel and his wife Perenelle (b. circa 1333) lived for over 600 years (PS17, JKR). Dumbledore did some alchemical work with him in… Read More",
